Description,38mm dia @200mm,42mm dia @140mm,42mm dia @80mm,Base Angle F,Base Angle BR,Base Angle BL,162mm taper F,162mm taper BR,162mm taper BL,40.5mm taper F,40.5mm taper BR,40.5mm taper BL,Top 1,Top 2,Top 3,Top 4
NominalValue,38,42,42,70,70,70,162,162,162,40.5,40.5,40.5,222,222,222,222
LowerBound,-0.4,-0.4,-0.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5,-5,-5,-5
UpperBound,0.4,0.4,0.4,1,1,1,1,1,1,1,1,1,15,15,15,15
part ID,,,,,,,,,,,,,,,,
1,38.207,42.145,42.231,70.869,70.543,70.687,163.138,162.939,163.137,40.861,40.875,40.935,229.778,230.453,230.775,230.057
2,38.204,42.124,42.188,69.888,69.904,70.21,162.437,162.928,162.762,40.667,40.779,40.648,231.308,232.234,231.625,231.317
_3,38.214,42.109,42.152,70.061,69.949,69.864,162.229,162.965,162.986,40.711,40.53,40.484,231.545,232.209,233.099,233.516
4,38.211,42.152,42.175,70.846,70.596,70.831,162.576,162.574,163.004,40.936,41.076,41.027,229.98,230.987,230.729,229.541
5,38.218,42.124,42.091,70.923,70.336,70.777,163.219,162.887,162.847,40.848,40.908,40.698,232.631,231.798,230.453,231.389
6,38.225,42.101,42.04,70.936,71.282,71.555,162.819,163.121,163.098,41.235,41.212,41.345,230.876,232.148,232.442,231.143
7,38.209,42.112,42.033,70.613,70.68,70.629,162.851,162.779,162.934,40.857,40.878,40.827,231.966,232.886,232.908,232.384
8,38.233,42.124,41.958,70.509,70.529,70.479,163.253,162.829,162.838,40.892,40.584,40.623,233.807,232.895,233.349,234.138
9,38.266,42.151,41.986,70.948,70.474,70.857,162.573,163.475,163.211,40.884,41.044,40.618,232.134,231.977,230.187,231.354
10,38.192,42.113,42.302,70.011,70.409,69.895,162.357,162.711,162.7,40.406,40.566,40.691,231.575,232.248,233.096,232.509
11,38.199,42.105,42.25,70.069,69.983,70.017,162.687,162.603,162.732,40.587,40.414,40.513,232.167,232.854,233.479,232.256
12,38.236,42.13,42.246,69.967,70.145,69.609,162.472,162.926,162.752,40.328,40.487,*40.565,231.906,232.714,232.872,232.576
13,38.205,42.124,42.207,70.875,70.644,70.705,163.179,162.959,162.675,40.717,40.7,40.811,232.545,231.727,231.457,232.341
14,38.22,42.119,42.135,70.347,70.254,70.539,162.876,162.564,162.988,40.527,40.618,40.492,233.501,233.011,232.591,233.786
15,38.239,42.091,42.078,69.974,69.996,70.088,163.129,162.782,162.941,40.629,40.51,40.537,234.584,233.908,232.837,233.646
16,38.194,42.101,42.1,70.863,70.507,70.648,162.793,162.64,162.725,40.654,40.882,40.676,232.863,233.025,232.122,232.727
17,38.224,42.09,42.031,70.708,70.454,70.552,163.308,162.934,163,40.71,40.743,40.561,233.861,233.828,232.856,234.044
18,38.248,42.081,41.981,69.972,70.462,70.792,162.762,162.752,162.691,40.584,40.477,40.86,233.557,234.019,234.554,234.041
19,38.194,42.099,42.321,69.765,70.071,70.074,162.405,162.863,162.514,40.368,40.438,40.414,233.885,232.921,233.035,233.356
_20,38.219,42.117,42.31,69.909,69.81,69.983,162.635,162.671,162.725,40.522,*40.423,40.296,233.04,232.367,232.354,233.742
21,38.232,42.1,42.258,69.649,69.774,69.722,162.748,162.675,162.671,40.302,40.355,40.198,234.347,233.694,233.099,234.277
22,38.205,42.103,42.246,70.548,70.398,70.228,162.785,162.468,162.645,40.634,40.5,40.506,233.405,233.012,232.413,232.766
23,38.227,42.085,42.171,69.67,70.202,70.141,162.73,162.97,162.903,40.244,40.344,40.67,233.539,235.202,234.718,233.483
24,38.232,42.056,42.111,69.81,70.27,69.92,162.444,162.603,162.926,40.459,40.637,40.487,233.243,234.385,234.863,234.332
25,38.194,42.084,42.145,70.742,70.999,70.775,162.193,162.799,162.587,40.64,40.586,40.82,232.196,232.82,233.153,232.809
26,38.235,42.082,42.073,70.429,70.378,70.846,162.823,163.05,162.813,40.519,40.701,40.585,233.49,234.121,234.513,234.317
27,38.285,42.113,42.105,70.726,71.193,70.617,163.699,163.632,163.572,41.031,41.077,41.223,229.038,229.124,229.588,229.347
28,38.201,42.147,42.247,70.147,70.135,70.057,163.105,163.055,163.226,40.91,40.787,40.742,231.323,230.946,231.073,230.846
29,38.213,42.121,42.198,69.854,69.637,69.724,163.011,162.9,162.828,40.613,40.593,40.406,233.024,232.027,231.522,232.479
30,38.222,42.113,42.169,69.904,69.543,69.989,162.89,162.653,163.098,40.757,40.474,40.481,231.109,232.313,233.081,232.293
31,38.192,42.107,42.125,70.554,70.281,70.863,162.753,162.706,162.893,40.888,40.779,40.801,232.759,231.661,231.302,232.017
32,38.22,42.128,42.061,70.452,69.947,70.516,163.072,163.164,162.852,40.841,40.591,40.691,233.066,231.982,232.306,233.258
33,38.219,42.097,42.008,70.23,70.108,70.133,162.98,162.866,162.754,40.507,40.544,40.678,232.469,234.192,233.859,232.994
34,38.192,42.098,42.024,70.634,70.725,70.679,162.854,162.472,162.796,40.762,41.011,40.923,231.937,233.151,232.367,230.995
35,38.201,42.102,41.932,70.279,70.546,70.561,162.775,163.054,162.921,40.639,40.582,40.833,233.029,234.711,233.793,232.387
36,38.23,42.1,41.906,70.074,70.226,70.381,163.132,162.658,162.766,40.513,40.5,40.673,233.555,234.197,234.11,233.926
37,38.178,42.077,42.3,69.858,70.11,70.022,162.525,162.537,162.558,40.43,40.341,40.404,233.637,234.052,233.35,233.492
38,38.194,42.091,42.252,69.662,69.822,69.863,162.601,163.017,162.975,40.413,40.327,40.29,234.03,234.135,234.006,233.601
39,38.21,42.069,42.22,69.455,69.807,69.742,162.815,162.831,162.762,40.317,40.218,40.407,234.723,235.243,234.704,233.989
40,38.186,42.084,42.215,70.966,70.411,70.371,162.697,163.032,162.865,40.525,40.508,40.544,233.333,233.477,233.515,233.16
41,38.214,42.082,42.149,70.358,70.235,69.84,162.802,163.005,162.665,40.632,40.412,40.616,234.234,234.963,234.692,233.988
42,38.235,42.041,42.108,70.195,70,69.945,162.778,163.331,163.133,40.418,40.29,40.429,234.452,235.353,235.72,235.04
43,38.207,42.083,42.144,70.6,70.269,70.695,162.409,162.656,162.9,40.612,40.596,40.826,233.272,233.788,233.399,232.972
44,38.227,42.07,42.063,69.994,69.982,70.679,162.151,162.732,163.047,40.362,40.708,40.592,234.315,235.418,235.631,234.961
45,38.241,42.03,42.021,70.184,70.473,70.095,162.862,162.94,162.631,40.599,40.281,40.542,234.961,235.443,235.46,234.946
46,38.214,42.125,42.156,70.11,70.156,69.981,163.006,163.113,162.98,40.763,40.805,40.819,232.088,233.158,232.299,230.974
47,38.221,42.12,42.139,70.074,70.032,70.014,163.124,163.276,162.813,40.636,40.729,40.774,232.871,232.561,231.753,233.313
48,38.22,42.115,42.117,70.011,70.508,70.073,162.939,162.595,162.772,40.817,40.595,40.648,232.331,233.645,233.165,232.521
49,38.208,42.104,42.115,70.102,70.212,69.682,162.93,162.699,162.94,40.513,40.535,40.719,233.435,234.284,233.736,233.095
50,38.217,42.119,42.127,69.809,69.97,69.897,162.72,162.946,162.633,40.708,40.279,40.449,233.609,234.547,234.057,233.795
